Time800,Time1500,TimeMile,Time3000,Time5000,3kSteepleSec
02:02.3,04:27.1,04:30.6,08:57.2,,588.6
01:50.5,03:39.1,03:59.6,07:45.4,13:30.5,506.4
,03:40.7,03:55.7,07:45.8,13:34.8,514.3
,03:45.3,04:02.9,07:47.3,13:58.3,504.3
01:52.2,03:38.2,04:02.7,07:48.7,13:45.9,528.7
,,03:55.9,07:49.7,13:11.5,513.9
,03:49.6,04:08.4,07:51.8,13:45.4,563
,03:43.6,04:03.4,07:52.0,13:33.0,520.9
01:51.9,03:44.8,03:59.2,07:53.0,14:02.1,536.4
,03:47.0,04:01.8,07:53.9,13:46.1,522.2
,03:50.6,04:02.5,07:54.8,13:33.7,529.8
01:57.3,03:41.2,03:59.5,07:55.0,13:57.7,512
,03:48.6,04:01.0,07:55.2,14:22.3,510.3
01:52.0,03:43.7,03:59.6,07:55.9,13:51.9,517.7
,03:45.7,04:03.3,07:55.9,14:10.3,524
01:50.0,03:43.5,03:56.4,07:56.0,14:54.0,554.2
01:54.5,,04:07.6,07:56.8,13:37.2,538.4
,03:54.1,03:58.3,07:56.9,,521.6
,03:51.9,04:07.2,07:57.0,14:18.1,529.4
,03:48.2,04:05.2,07:57.4,14:02.1,528.2
01:59.6,03:48.9,04:09.4,07:57.5,13:44.8,523.5
,03:45.1,04:08.5,07:57.8,14:18.9,520.1
01:52.4,03:43.3,03:58.9,07:58.5,13:42.8,513.4
,03:48.3,04:08.3,08:00.4,14:17.4,527.8
01:54.5,03:42.1,03:58.5,08:01.5,13:57.9,521
,03:47.0,04:08.6,08:01.8,14:09.7,528.6
,04:07.7,04:07.4,08:02.2,13:41.9,539.8
,03:41.8,03:57.8,08:02.9,14:01.2,538.5
,03:46.8,04:01.8,08:03.1,14:32.9,533.4
01:56.5,03:47.6,04:09.6,08:03.4,13:55.1,517
,03:47.2,04:07.4,08:03.6,14:24.5,533.7
,03:48.5,04:14.0,08:03.7,13:57.9,520.5
01:56.3,03:47.9,04:03.6,08:04.2,,536.8
01:50.9,03:44.4,03:59.6,08:04.6,,511.2
,03:49.7,04:11.6,08:05.1,,540.2
01:54.4,03:47.0,04:06.0,08:05.2,13:52.2,512.6
01:52.7,03:45.1,04:06.5,08:05.3,14:29.5,544.4
01:53.8,03:43.0,04:03.0,08:05.5,,550.6
01:55.4,03:49.5,04:07.4,08:05.6,14:22.6,532.1
01:49.9,03:45.1,04:00.5,08:05.7,13:56.5,528.3
,03:45.6,04:02.9,08:06.5,14:17.4,527.8
,,04:14.3,08:06.9,14:04.8,533.7
,,04:15.5,08:06.9,14:41.1,558.1
01:52.8,03:48.5,04:07.9,08:07.1,14:45.9,539.7
,03:55.3,,08:07.1,14:02.9,531.3
,04:01.0,04:11.7,08:07.2,14:28.3,550.5
,03:50.9,04:08.4,08:07.5,13:59.9,537.6
,03:58.8,04:14.4,08:08.6,14:28.5,566.2
,03:46.3,04:06.5,08:09.0,,527
,03:51.4,04:13.7,08:09.0,14:47.9,534.9
,03:52.5,04:07.5,08:09.1,,514.4
,03:49.9,,08:09.1,13:56.6,519.6
01:54.5,03:49.9,04:11.8,08:09.2,14:26.5,526.4
,03:47.6,04:09.8,08:09.3,14:01.2,527.5
,04:00.7,04:08.6,08:09.4,14:12.2,526.2
,03:53.9,04:07.9,08:09.6,14:38.2,532.2
